Nom station;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Actualisation de la donnée;Nom communes équipées
Hoche - Tilsitt;33;28;5;1;4;2023-04-06T13:48:46+02:00;Paris
Place Madeleine Daniélou;42;31;10;3;7;2023-04-06T13:48:39+02:00;Paris
Beffroy;26;2;24;15;9;2023-04-06T13:47:15+02:00;Neuilly-sur-Seine
Cauchy - Cévennes;51;8;40;39;1;2023-04-06T13:48:55+02:00;Paris
Molitor - Chardon-Lagache;34;4;28;23;5;2023-04-06T13:48:14+02:00;Paris
Jean-François Lépine - Stephenson;22;13;4;4;0;2023-04-06T13:48:18+02:00;Paris
Gare RER de Vincennes;51;31;19;17;2;2023-04-06T13:49:05+02:00;Vincennes
Abbé Carton - Plantes;25;23;1;0;1;2023-04-06T13:43:02+02:00;Paris
Mairie du 11ème;51;28;22;19;3;2023-04-06T13:49:01+02:00;Paris
Marie-Georges Picquart - Pereire;32;24;8;5;3;2023-04-06T13:49:06+02:00;Paris
Villette - Belleville;48;43;4;2;2;2023-04-06T13:48:17+02:00;Paris
Sablons - Georges Mandel;38;32;3;2;1;2023-04-06T13:47:07+02:00;Paris
Lieutenant Chauré - Etienne Marey;20;18;2;0;2;2023-04-06T13:48:17+02:00;Paris
Théophile Gautier - François Millet;30;5;22;18;4;2023-04-06T13:47:13+02:00;Paris
Parmentier - République;50;47;1;1;0;2023-04-06T13:44:42+02:00;Paris
Marché Secrétan;26;25;0;0;0;2023-04-06T13:49:02+02:00;Paris
Charles de Gaulle - Sablonville;26;16;9;3;6;2023-04-06T13:48:12+02:00;Neuilly-sur-Seine
Larmeroux - Baudelaire;29;27;1;0;1;2023-04-06T13:49:06+02:00;Vanves
Auguste Cain - Jean Moulin;40;40;0;0;0;2023-04-06T13:45:37+02:00;Paris
Arche - Léonard de Vinci;28;22;5;4;1;2023-04-06T13:48:25+02:00;Courbevoie
Chemin Vert - Fraternité;20;19;1;0;1;2023-04-06T13:45:23+02:00;Romainville
Miromesnil - La Boétie;35;12;22;8;14;2023-04-06T13:48:41+02:00;Paris
